,htsc_code,time,frequency,open,close,high,low,volume,value
16,000001.SH,2024-07-23 15:59:32,daily,2960.5004,2915.3685,2960.5004,2915.3682,29629599400.0,307194049861.8
17,399006.SZ,2024-07-01 16:29:21,daily,1679.6622,1682.6918,1689.5449,1652.0104,12244545819.0,169887408797.05
18,399006.SZ,2024-07-02 16:29:12,daily,1677.6687,1665.0352,1683.8466,1660.3165,13382262324.0,172148618174.73
19,399006.SZ,2024-07-03 16:29:15,daily,1664.9863,1660.1242,1675.6473,1648.2447,13300044865.0,157967254874.41
20,399006.SZ,2024-07-04 16:29:42,daily,1666.3932,1647.2199,1674.7516,1647.2199,12823571533.0,152773081209.11
21,399006.SZ,2024-07-05 16:29:36,daily,1648.7391,1655.594,1662.3161,1631.8859,12192254445.0,143931833928.72
22,399006.SZ,2024-07-08 16:29:33,daily,1651.6413,1628.7584,1652.1933,1624.5492,12104925792.0,142750502024.49
23,399006.SZ,2024-07-09 16:29:42,daily,1625.5224,1652.1171,1660.3298,1614.6055,14112935059.0,181888476705.64
24,399006.SZ,2024-07-10 16:29:12,daily,1642.8613,1651.1097,1668.0899,1641.8378,12781301392.0,168987766683.15
25,399006.SZ,2024-07-11 16:29:12,daily,1673.5395,1685.1176,1694.776,1658.9567,15146180556.0,199778369266.39
26,399006.SZ,2024-07-12 16:29:03,daily,1680.1404,1683.6285,1692.8892,1672.6663,12744122693.0,173438350523.82
27,399006.SZ,2024-07-15 16:29:45,daily,1674.8869,1673.0072,1679.8821,1665.3381,11405290335.0,147985324118.61
28,399006.SZ,2024-07-16 16:29:06,daily,1671.9212,1696.3359,1697.1364,1671.3103,11219041189.0,163205781937.65
29,399006.SZ,2024-07-17 16:29:06,daily,1691.9465,1696.4508,1707.6133,1684.9417,11906605159.0,166559939236.06
30,399006.SZ,2024-07-18 16:29:15,daily,1680.3385,1717.7091,1718.8205,1678.5599,12345765015.0,176205065367.14
31,399006.SZ,2024-07-19 16:29:48,daily,1706.843,1725.4874,1731.1258,1706.5799,11302665097.0,163355640358.29
32,399006.SZ,2024-07-22 16:29:45,daily,1729.2801,1723.9141,1735.6012,1713.3732,11678760998.0,159542178380.54
33,399006.SZ,2024-07-23 16:29:06,daily,1721.9346,1671.4432,1722.0774,1671.4432,12926337352.0,166046388177.11
34,000016.SH,2024-07-01 15:59:33,daily,2395.1996,2405.4665,2407.0535,2387.6172,3628124700.0,56357789338.0
35,000016.SH,2024-07-02 15:59:33,daily,2400.1671,2416.6793,2421.7506,2399.5179,3686694900.0,59919130804.0
36,000016.SH,2024-07-03 15:59:33,daily,2417.1757,2414.8657,2421.0831,2405.8361,3299160000.0,55118428056.0
37,000016.SH,2024-07-04 15:59:33,daily,2417.2756,2407.9029,2428.9387,2407.1264,3051157900.0,49929135278.0
38,000016.SH,2024-07-05 15:59:33,daily,2405.6106,2386.004,2411.9275,2367.0152,3936343900.0,63623260457.0
39,000016.SH,2024-07-08 15:59:33,daily,2375.6838,2371.6891,2387.8878,2368.1664,3561756200.0,58987893203.0
