,htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
36,AG2409.SHF,2024-05-20 15:17:19.000,daily,7737.0,8206.0,8206.0,7737.0,56746.0,6705923640.0,26108.0,7878.0
37,AG2409.SHF,2024-05-21 15:19:22.000,daily,8099.0,8238.0,8732.0,8093.0,140765.0,17558798115.0,21792.0,8315.0
38,AG2409.SHF,2024-05-22 15:23:44.000,daily,8290.0,8345.0,8509.0,8248.0,103894.0,13057205235.0,23037.0,8378.0
39,AG2409.SHF,2024-05-23 15:19:46.000,daily,8330.0,7954.0,8333.0,7866.0,93040.0,11293768320.0,22660.0,8092.0
40,AG2409.SHF,2024-05-24 15:18:48.000,daily,7970.0,8000.0,8080.0,7841.0,80824.0,9657939660.0,22966.0,7966.0
41,AG2409.SHF,2024-05-27 15:45:14.500,daily,8020.0,8085.0,8159.0,7933.0,54240.0,6539029695.0,22748.0,8037.0
42,AG2409.SHF,2024-05-28 15:21:36.000,daily,8125.0,8290.0,8444.0,8125.0,90803.0,11348844510.0,23455.0,8332.0
43,AG2409.SHF,2024-05-29 15:19:18.000,daily,8352.0,8544.0,8549.0,8295.0,97599.0,12342488835.0,23728.0,8430.0
44,AG2409.SHF,2024-05-30 15:19:59.500,daily,8428.0,8276.0,8525.0,8198.0,89653.0,11288065995.0,24346.0,8393.0
45,AG2409.SHF,2024-05-31 15:14:22.000,daily,8247.0,8241.0,8385.0,8120.0,79333.0,9825778485.0,24518.0,8256.0
46,AG2409.SHF,2024-06-03 15:26:09.500,daily,8320.0,7964.0,8395.0,7836.0,116980.0,14211670485.0,25537.0,8099.0
47,AG2409.SHF,2024-06-04 15:19:31.000,daily,8037.0,8093.0,8126.0,7946.0,75614.0,9110212680.0,25014.0,8032.0
48,AG2409.SHF,2024-06-05 15:16:34.000,daily,7959.0,7785.0,7959.0,7740.0,84579.0,9911489595.0,25651.0,7812.0
49,AG2409.SHF,2024-06-06 15:24:56.000,daily,7806.0,8043.0,8090.0,7768.0,81179.0,9658072170.0,26085.0,7931.0
50,AG2409.SHF,2024-06-07 15:22:18.500,daily,7992.0,8229.0,8334.0,7971.0,93325.0,11445351975.0,24527.0,8175.0
51,AG2409.SHF,2024-06-11 15:24:27.000,daily,7880.0,7690.0,7884.0,7661.0,44325.0,5153192955.0,24309.0,7750.0
52,AG2409.SHF,2024-06-12 15:46:29.500,daily,7781.0,7771.0,7798.0,7686.0,46150.0,5357662830.0,23865.0,7739.0
53,AG2409.SHF,2024-06-13 15:16:50.500,daily,7890.0,7753.0,7983.0,7593.0,92020.0,10788993720.0,24611.0,7816.0
54,AG2409.SHF,2024-06-14 15:20:52.500,daily,7761.0,7682.0,7770.0,7570.0,68337.0,7865818305.0,25190.0,7673.0
55,AG2409.SHF,2024-06-17 15:21:57.500,daily,7715.0,7688.0,7810.0,7666.0,63051.0,7310498175.0,24837.0,7729.0
56,AG2409.SHF,2024-06-18 15:19:18.000,daily,7745.0,7760.0,7832.0,7691.0,55078.0,6418343385.0,24206.0,7768.0
57,AG2409.SHF,2024-06-19 15:15:20.000,daily,7652.0,7782.0,7823.0,7652.0,50047.0,5833579395.0,24443.0,7770.0
58,AG2409.SHF,2024-06-20 15:20:02.000,daily,7780.0,8025.0,8070.0,7780.0,63161.0,7507654350.0,25248.0,7924.0
59,AG2409.SHF,2024-06-21 15:16:24.500,daily,7998.0,8048.0,8191.0,7992.0,74681.0,9064623315.0,25874.0,8091.0
60,AG2409.SHF,2024-06-24 15:49:13.000,daily,8014.0,7835.0,8056.0,7792.0,79147.0,9389285880.0,26455.0,7908.0
61,AG2409.SHF,2024-06-25 15:13:33.500,daily,7837.0,7840.0,7888.0,7770.0,45126.0,5306310900.0,26259.0,7839.0
62,AG2409.SHF,2024-06-26 15:14:35.000,daily,7847.0,7682.0,7847.0,7617.0,67346.0,7785169095.0,23316.0,7706.0
63,AG2409.SHF,2024-06-27 15:18:17.000,daily,7658.0,7638.0,7677.0,7586.0,56677.0,6488106585.0,21913.0,7631.0
64,AG2409.SHF,2024-06-28 15:19:18.500,daily,7737.0,7772.0,7776.0,7642.0,56757.0,6565402320.0,22038.0,7711.0
65,AG2409.SHF,2024-07-01 15:19:24.000,daily,7853.0,7737.0,7863.0,7687.0,51004.0,5948716890.0,21707.0,7775.0
66,AG2409.SHF,2024-07-02 15:16:45.500,daily,7762.0,7804.0,7825.0,7746.0,28919.0,3377709075.0,21932.0,7786.0
67,AG2409.SHF,2024-07-03 15:15:28.000,daily,7837.0,7977.0,7977.0,7794.0,40239.0,4750180770.0,22114.0,7869.0
68,AG2409.SHF,2024-07-04 15:16:11.500,daily,8095.0,8024.0,8123.0,7992.0,47238.0,5718230940.0,20844.0,8070.0
69,AG2409.SHF,2024-07-05 15:19:33.500,daily,8002.0,8099.0,8129.0,8002.0,28146.0,3406974075.0,20542.0,8069.0
70,AG2409.SHF,2024-07-08 15:16:00.500,daily,8138.0,8145.0,8325.0,8104.0,68708.0,8462997090.0,24774.0,8211.0
71,AG2409.SHF,2024-07-09 15:13:23.000,daily,8167.0,8179.0,8211.0,8033.0,38740.0,4730554560.0,25448.0,8140.0
72,AG2409.SHF,2024-07-10 15:26:05.500,daily,8150.0,8146.0,8202.0,8055.0,42457.0,5179895475.0,25148.0,8133.0
