ymd,htsc_code,name,exchange
20240720,600657.SH,信达地产,XSHG
20240720,600118.SH,中国卫星,XSHG
20240720,600052.SH,东望时代,XSHG
20240720,600115.SH,中国东航,XSHG
20240720,600410.SH,华胜天成,XSHG
20240720,600172.SH,黄河旋风,XSHG
20240720,600208.SH,新湖中宝,XSHG
20240720,600613.SH,神奇制药,XSHG
20240720,600251.SH,冠农股份,XSHG
20240720,600284.SH,浦东建设,XSHG
20240720,600113.SH,浙江东日,XSHG
20240720,600894.SH,广日股份,XSHG
20240720,600738.SH,丽尚国潮,XSHG
20240720,002285.SZ,世联行,XSHE
20240720,600361.SH,创新新材,XSHG
20240720,002276.SZ,万马股份,XSHE
20240720,600020.SH,中原高速,XSHG
20240720,600498.SH,烽火通信,XSHG
20240720,600664.SH,哈药股份,XSHG
20240720,002382.SZ,蓝帆医疗,XSHE
20240720,600148.SH,长春一东,XSHG
20240720,600511.SH,国药股份,XSHG
20240720,600017.SH,日照港,XSHG
20240720,600258.SH,首旅酒店,XSHG
20240720,600369.SH,西南证券,XSHG
20240720,600009.SH,上海机场,XSHG
20240720,600551.SH,时代出版,XSHG
20240720,600594.SH,益佰制药,XSHG
20240720,600538.SH,国发股份,XSHG
20240720,600480.SH,凌云股份,XSHG
20240720,600380.SH,健康元,XSHG
20240720,600278.SH,东方创业,XSHG
20240720,600088.SH,中视传媒,XSHG
20240720,600160.SH,巨化股份,XSHG
20240720,603551.SH,奥普科技,XSHG
20240720,688692.SH,达梦数据,XSHG
20240720,000637.SZ,茂化实华,XSHE
20240720,002086.SZ,东方海洋,XSHE
20240720,600548.SH,深高速,XSHG
20240720,600682.SH,南京新百,XSHG
20240720,300041.SZ,回天新材,XSHE
20240720,600028.SH,中国石化,XSHG
20240720,600271.SH,航天信息,XSHG
20240720,600200.SH,江苏吴中,XSHG
20240720,600307.SH,酒钢宏兴,XSHG
20240720,600469.SH,风神股份,XSHG
20240720,600449.SH,宁夏建材,XSHG
20240720,600674.SH,川投能源,XSHG
20240720,600153.SH,建发股份,XSHG
20240720,301393.SZ,昊帆生物,XSHE
20240720,301381.SZ,赛维时代,XSHE
20240720,002135.SZ,东南网架,XSHE
20240720,002075.SZ,沙钢股份,XSHE
20240720,002003.SZ,伟星股份,XSHE
20240720,002091.SZ,江苏国泰,XSHE
20240720,002055.SZ,得润电子,XSHE
20240720,002233.SZ,塔牌集团,XSHE
20240720,002101.SZ,广东鸿图,XSHE
20240720,002144.SZ,宏达高科,XSHE
20240720,002208.SZ,合肥城建,XSHE
20240720,002165.SZ,红宝丽,XSHE
20240720,002058.SZ,威尔泰,XSHE
20240720,002238.SZ,天威视讯,XSHE
20240720,000800.SZ,一汽解放,XSHE
20240720,000801.SZ,四川九洲,XSHE
20240720,002011.SZ,盾安环境,XSHE
20240720,000883.SZ,湖北能源,XSHE
20240720,002100.SZ,天康生物,XSHE
20240720,002254.SZ,泰和新材,XSHE
20240720,000929.SZ,兰州黄河,XSHE
20240720,002017.SZ,东信和平,XSHE
20240720,000797.SZ,中国武夷,XSHE
20240720,002230.SZ,科大讯飞,XSHE
20240720,002240.SZ,盛新锂能,XSHE
20240720,002136.SZ,安纳达,XSHE
20240720,000993.SZ,闽东电力,XSHE
20240720,002152.SZ,广电运通,XSHE
20240720,000920.SZ,沃顿科技,XSHE
20240720,002154.SZ,报喜鸟,XSHE
20240720,000828.SZ,东莞控股,XSHE
20240720,002214.SZ,大立科技,XSHE
20240720,000960.SZ,锡业股份,XSHE
20240720,002051.SZ,中工国际,XSHE
20240720,002244.SZ,滨江集团,XSHE
20240720,002128.SZ,电投能源,XSHE
20240720,000850.SZ,华茂股份,XSHE
20240720,002226.SZ,江南化工,XSHE
20240720,002218.SZ,拓日新能,XSHE
20240720,002142.SZ,宁波银行,XSHE
20240720,002038.SZ,双鹭药业,XSHE
20240720,000915.SZ,华特达因,XSHE
20240720,000888.SZ,峨眉山A,XSHE
20240720,002046.SZ,国机精工,XSHE
20240720,000861.SZ,海印股份,XSHE
20240720,002056.SZ,横店东磁,XSHE
20240720,002201.SZ,正威新材,XSHE
20240720,002099.SZ,海翔药业,XSHE
20240720,002030.SZ,达安基因,XSHE
20240720,000783.SZ,长江证券,XSHE
20240720,002253.SZ,川大智胜,XSHE
20240720,000858.SZ,五粮液,XSHE
20240720,002227.SZ,奥特迅,XSHE
20240720,002246.SZ,北化股份,XSHE
20240720,002206.SZ,海利得,XSHE
20240720,002132.SZ,恒星科技,XSHE
20240720,002063.SZ,远光软件,XSHE
20240720,002151.SZ,北斗星通,XSHE
20240720,000869.SZ,张裕A,XSHE
20240720,002107.SZ,沃华医药,XSHE
20240720,002224.SZ,三力士,XSHE
20240720,002140.SZ,东华科技,XSHE
20240720,002023.SZ,海特高新,XSHE
20240720,002139.SZ,拓邦股份,XSHE
20240720,002016.SZ,世荣兆业,XSHE
20240720,002108.SZ,沧州明珠,XSHE
20240720,002161.SZ,远望谷,XSHE
20240720,000917.SZ,电广传媒,XSHE
20240720,002183.SZ,怡亚通,XSHE
20240720,000999.SZ,华润三九,XSHE
20240720,002062.SZ,宏润建设,XSHE
20240720,002098.SZ,浔兴股份,XSHE
20240720,002131.SZ,利欧股份,XSHE
20240720,002264.SZ,新华都,XSHE
20240720,002067.SZ,景兴纸业,XSHE
20240720,000938.SZ,紫光股份,XSHE
20240720,002025.SZ,航天电器,XSHE
20240720,002116.SZ,中国海诚,XSHE
20240720,000965.SZ,天保基建,XSHE
20240720,002073.SZ,软控股份,XSHE
20240720,002009.SZ,天奇股份,XSHE
20240720,000812.SZ,陕西金叶,XSHE
